step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,8,8,8,4,4,4,8,4,4,4,16,4,4,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,9,7,8,4,4,4,8,4,4,4,16,4,4,0,552,2,0,0,0,0,0,0,0,1.017656879263582,99054.65000000002,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.020816459366573316,2.8001428534987283,0.8309841421834542,97267,99.92911153119093
2,11,9,7,8,4,4,4,9,4,3,5,16,4,4,0,552,3,0,0,0,0,0,0,0,1.0352056702556094,100762.77911999999,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03915070688570265,5.087159529093815,0.7294420931278957,96881,99.53254705350538
3,11,8,7,8,4,5,4,9,4,5,3,16,3,4,0,552,4,0,0,0,0,0,0,0,1.0525898758327854,102454.88815406,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.05579809908460472,7.013416864006248,0.6595802303542888,95780,98.40141365989973
4,10,8,6,7,4,5,4,9,4,5,4,16,3,4,0,552,5,0,0,0,0,1,0,0,1.0698091743425677,104130.94579380816,0.0,19.72441777383,True,99.98664420152873,0.9998664420152873,0.0711256975215703,8.6744940850508,0.6077698754499276,93613,96.17510479164955
5,10,8,6,7,4,5,4,9,4,5,4,16,3,4,0,552,6,0,0,0,0,1,0,0,1.0868587428744176,105790.48259642432,0.0,23.915715260158258,True,99.98767157064191,0.9998767157064191,0.08540759735543753,10.136534873446292,0.5674062977811835,90102,92.56801183529218
6,10,7,6,7,4,5,4,10,4,6,4,16,3,4,0,552,8,0,0,0,0,1,0,0,1.1037493075721965,107434.54260184732,0.0,27.918774926803334,True,99.95787786635982,0.9995787786635982,0.09882337465745906,11.459091900175448,0.5348399183493912,85047,87.37466096819266
7,10,7,6,7,4,6,4,10,4,7,5,16,3,3,0,552,10,0,0,0,0,1,0,0,1.1204754728758248,109062.60062784128,0.0,31.749462834228687,True,99.95890523547301,0.9995890523547302,0.11149109857947205,12.65841775668217,0.5078780746069103,78440,80.58683323744556
8,10,7,6,6,4,6,4,10,4,7,5,16,3,3,0,552,11,0,0,0,0,1,0,0,1.1370279036465152,110673.7480293372,0.0,35.42357632101625,True,99.95993260458617,0.9995993260458618,0.12352505259170728,13.81437220819018,0.48508736232058836,70541,72.47164461247637
9,10,7,6,6,4,6,4,10,4,8,4,16,3,3,0,552,13,0,0,0,0,1,0,0,1.153420015219419,112269.29060139737,0.0,38.95562378837006,True,99.95787786635982,0.9995787786635982,0.13499452152713867,14.880605108398685,0.4654851082562377,61875,63.56846387770199
