step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,1,0,0,0,0,0,0,0,1.0177955740938607,99068.15000000002,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.020419527531303393,2.8001428534987283,0.8311049501816453,97293,99.95582312813347
2,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,2,0,0,0,0,0,0,0,1.03548680981343,100790.14412000001,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03844512288602985,5.087159529093815,0.7295039178225794,97068,99.7246650776691
3,11,4,4,4,2,2,4,4,2,2,4,7,2,2,0,552,3,0,0,0,0,0,0,0,1.053012035670872,102495.97950406001,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.054863671119173986,7.011684061607079,0.6595895158886693,96436,99.07536779814252
4,11,4,4,4,2,2,4,4,2,2,4,7,2,2,0,552,5,0,0,0,0,0,0,0,1.0703651764781545,104185.06481767766,0.0,19.72441777383,True,99.98869893975507,0.9998869893975507,0.07001594923274802,8.672435525840584,0.607747706866616,95163,97.76752691707077
5,11,4,5,4,2,2,4,4,2,1,5,7,2,2,0,552,7,0,0,0,0,0,0,0,1.0875417791279893,105856.96661320196,0.0,23.915715260158258,True,99.98869893975507,0.9998869893975507,0.08417027311975754,10.134445983101788,0.5673660408895695,93042,95.58847702802663
6,11,4,5,4,2,2,4,4,2,3,3,7,2,2,0,552,8,0,0,0,0,0,0,0,1.1045492430214745,107512.40511873824,0.0,27.918774926803334,True,99.9712336648311,0.999712336648311,0.09745554571374367,11.441577643218022,0.5348069222283526,89916,92.37692118024164
7,10,4,5,4,2,2,4,4,2,3,3,7,2,2,0,552,9,0,0,1,0,0,0,0,1.1213930821427387,109151.91704344562,0.0,31.749462834228687,True,99.9712336648311,0.999712336648311,0.10999760652497872,12.652270751710422,0.5078499904463086,85775,88.12258568258405
8,10,4,5,4,2,2,4,4,2,2,4,7,2,2,0,552,10,0,0,1,0,0,0,0,1.1380776582553818,110775.92694394583,0.0,35.42357632101625,True,99.9753431412838,0.999753431412838,0.12188098698232322,13.8013013680516,0.48506534896822445,80632,82.8388263335251
9,10,4,5,4,2,2,4,5,2,3,3,7,2,2,0,552,11,0,0,1,0,0,0,0,1.1545981452613494,112383.9650671587,0.0,38.95562378837006,True,99.97431577217063,0.9997431577217063,0.13324040375952972,14.860925029529684,0.4654720337749807,74706,76.75063696885017
10,10,4,5,4,2,2,4,5,2,3,3,7,2,2,0,552,11,0,0,1,0,0,0,0,1.1709489967244742,113975.49154517343,0.0,42.358411983660474,True,99.97637051039698,0.9997637051039697,0.14413867955928683,15.84312415927438,0.44838873048066064,68159,70.02445138489357
11,10,5,5,4,2,2,4,5,2,4,2,7,2,2,0,552,12,0,0,1,0,0,0,0,1.1871359347197794,115551.06334188445,0.0,45.64302475425594,True,99.97637051039698,0.9997637051039697,0.1546295370362056,16.75786259451748,0.4333160464242194,61172,62.846223391139965
12,10,5,6,4,2,2,4,5,2,4,2,7,2,2,0,552,13,0,0,1,0,0,0,0,1.2031520966297966,117110.01247755787,0.0,48.81897152355655,True,99.97739787951015,0.9997739787951015,0.164771461115704,17.613477979892235,0.41988495535109205,54021,55.499506862825676
13,10,5,6,3,2,2,4,5,2,3,2,7,2,2,0,552,14,0,0,1,0,0,0,0,1.2190156189200434,118654.10428320133,0.0,51.89439340095108,True,99.97739787951015,0.9997739787951015,0.1745589294752965,18.416979370273697,0.40781284998124073,46794,48.074710281910086
14,10,5,7,3,2,2,4,5,2,3,2,7,2,2,0,552,15,0,0,1,0,0,0,0,1.234713407572774,120182.06423950352,0.0,54.876273719741086,True,99.98047998684967,0.9998047998684967,0.18406583031925716,19.174281528040034,0.39688334683097076,39942,41.035177118435115
15,10,5,8,3,2,2,4,5,2,4,1,7,2,2,0,552,16,0,0,1,0,0,0,0,1.2502505537330395,121694.38789815913,0.0,57.77063020125226,True,99.9794526177365,0.999794526177365,0.19330893740032143,19.890393590137524,0.38692449990551897,33761,34.68500862990055
16,10,5,8,3,2,2,4,5,2,3,2,6,2,0,0,552,18,0,0,1,0,0,0,0,1.2656490908025209,123193.21990235416,0.0,60.582681020702246,True,99.9753431412838,0.999753431412838,0.20226796767230382,20.569572883865213,0.37779963177787096,28400,29.177282814169477
17,10,5,7,3,2,2,4,5,2,3,2,6,2,0,0,552,19,0,0,1,0,0,0,0,1.2809012729232292,124677.80630125543,0.0,63.31698412385874,True,99.97637051039698,0.9997637051039697,0.21099399350855186,21.215451190539703,0.36939936743694374,23998,24.654803977973206
18,10,6,7,3,2,1,4,5,2,2,3,6,2,0,0,552,20,0,0,1,0,0,0,0,1.295998883401848,126147.34731480229,0.0,65.97755215262909,True,99.97431577217063,0.9997431577217063,0.21966956167557863,21.831138773398838,0.3616347049584505,20473,21.0333278540314
19,10,6,7,3,2,1,4,5,2,2,3,6,1,0,0,552,22,0,0,1,0,0,0,0,1.3109507488080931,127602.70208598455,0.0,68.56794635182987,True,99.9753431412838,0.999753431412838,0.22829462602779346,22.419310273911076,0.3544320045209387,17649,18.132037478425246
20,9,6,6,3,2,1,4,5,2,2,3,6,1,0,0,552,24,0,0,2,0,0,0,0,1.3257601180913976,129044.18685454427,0.0,71.09135291366964,True,99.97328840305745,0.9997328840305745,0.23673182812253957,22.982275734564716,0.3477255561691332,15684,16.11325717103641
21,9,6,6,3,2,1,4,5,2,3,2,6,1,0,0,552,25,0,0,2,0,0,0,0,1.340421892616523,130471.30533972188,0.0,73.55064490719903,True,99.97431577217063,0.9997431577217063,0.2450059488007755,23.52203938792441,0.34146281593558314,14174,14.561929810142187
22,9,6,6,2,2,1,3,5,2,3,2,6,1,0,0,552,26,0,0,2,0,0,0,0,1.3549406870182075,131884.50671160425,0.0,75.94843249898422,True,99.9712336648311,0.999712336648311,0.25311649140601805,24.04034836954675,0.3355988531401585,12839,13.190392044053587
23,9,6,6,2,2,1,3,4,2,4,1,6,1,0,0,552,27,0,0,2,0,0,0,0,1.3693152211137858,133283.66636233145,0.0,78.28710372013674,True,99.97431577217063,0.9997431577217063,0.2610704026369902,24.538733126459622,0.3300952438856527,12009,12.337675680118352
24,9,6,6,2,2,1,3,4,2,2,3,6,1,0,0,552,28,0,0,2,0,0,0,0,1.3835464229258467,134668.87462191022,0.0,80.56885762485756,True,99.97431577217063,0.9997431577217063,0.2688785972248272,25.018540978317635,0.3249186187907023,11188,11.494205638201693
25,9,5,6,2,2,1,3,4,2,2,3,6,1,0,0,552,29,0,0,2,0,0,0,0,1.397636124600578,136040.30982412185,0.0,82.79573133384598,True,99.97842524862332,0.9997842524862333,0.2765428333338765,25.4809640301292,0.3200398276744001,10539,10.82744308375113
26,9,5,6,2,2,1,3,4,2,2,3,6,1,0,0,552,31,0,0,2,0,0,0,0,1.4115886172605099,137398.389649669,0.0,84.9696221634275,True,99.97431577217063,0.9997431577217063,0.2840668361935009,25.92706242288217,0.3154331056922168,10077,10.35279855346429
27,9,5,6,2,2,1,3,4,2,2,3,6,1,0,0,552,32,0,0,2,0,0,0,0,1.4254054642723166,138743.2662704102,0.0,87.09230580253812,True,99.97328840305745,0.9997328840305745,0.29145150120488594,26.357783733368596,0.3110766133855036,10139,10.416495438481139
28,9,4,6,2,2,1,3,4,2,2,3,6,1,0,0,552,33,0,0,2,0,0,0,0,1.4390878359894805,140075.05360387207,0.0,89.16545130704363,True,99.9753431412838,0.999753431412838,0.29870509969647385,26.773979190505266,0.30695038023575205,9941,10.213076354072491
29,9,4,6,2,2,1,3,4,2,2,3,6,1,0,0,552,33,0,0,2,0,0,0,0,1.4526359484549067,141393.7726788068,0.0,91.19063352642314,True,99.97431577217063,0.9997431577217063,0.30583817213398257,27.176417257045284,0.3030363916815474,9786,10.053834141530368
30,9,4,6,2,1,1,3,4,2,1,4,6,1,0,0,552,32,0,0,2,0,0,0,0,1.4660478680403644,142699.2352835769,0.0,93.16934345451307,True,99.97431577217063,0.9997431577217063,0.31284999183407974,27.565795028313946,0.2993191822121817,9749,10.015821484342895
31,9,4,6,2,1,1,3,3,2,2,3,6,1,0,0,552,33,0,0,2,0,0,0,0,1.4793239669787495,143991.47764984355,0.0,95.10299689772243,True,99.9794526177365,0.999794526177365,0.3197513937209561,27.942747819775196,0.29578457477894593,9770,10.03739623571957
